no,a2,a3,a4,a5,a6,a7,v1_1,v1_2,v1_3,v1_4,v1_5,v1_o,v2,v3,v4_1,v4_2,v4_3,v4_o,v5_1,v5_2,v5_3,v5_4,v5_5,v5_6,v5_o,v6_1,v6_2,v6_3,v6_4,v6_o,v7,v8_1,v8_2,v8_3,v8_4,v8_5,v8_o,v9_1,v9_2,v9_3,v9_o,v10_1,v10_2,v10_3,v10_4,v10_5,v10_o,v11,v12_1,v12_2,v12_3,v12_4,v12_o,v13_1,v13_2,v13_3,v13_4,v13_o,v14_1,v14_2,v14_3,v14_4,v14_5,v14_6,v14_o,v15_1,v15_2,v15_3,v15_4,v15_5,v15_6,v15_o
810,1,2,2,8,1,3,1,3,5, , , ,2, , , , , ,8, , , , , , ,8, , , , ,1, , , , , , , , , , ,1, , , , , ,8,6, , , , ,1,2, , , ,1,2,5, , , , ,1,2,5, , , , 
12,1,3,3,11,3,1,1,3,4, , , ,1,8,5, , , ,2,4, , , , , ,1,5, , , ,4,1,2,3,4, , ,1,4, , ,1,2,3,4,5, ,5,1,5, , , ,1,2,3,5, ,1,5, , , , , ,1,2,3,4, , , 
173,1,2,3,11,3,1,3, , , , , ,1,4,1,4,5, ,4, , , , , , ,1,4,5, , ,4,1,3, , , , ,1,5, , ,1,2,3,4,5, ,5,1, , , , ,1,2,3,4, ,1,5, , , , , ,1,2,4, , , , 
177,1,3,4,11,3,1,3,4, , , , ,1,7,1,4, , ,1,2,3,4,5, , ,1, , , , ,3, , , , , , , , , , ,1,2,3,4,5, ,7,9, , , ,目前還好沒想到會焦慮的地方。,2,4, , , ,1,2,4,5, , , ,1,2,3,4,5, , 
179,1,2,3,11,3,1,3,4,5, , , ,2, , , , , ,1,2, , , , , ,1,2,3,5, ,4,3,4,5, , , ,1, , , ,1,2,3,4,5, ,6,3, , , , ,2,3,5, , ,1, , , , , , ,1,2,4, , , , 
182,1,2,3,11,3,1,2,3,4,5, , ,1,6,1,3, , ,1,2,4,5, , , ,1,2, , , ,3, , , , , , , , , , ,1,2,3,5, , ,7,5, , , , ,1,5, , , ,2,3,5, , , , ,1,2,3,4, , , 
306,1,3,3,16,3,1,4, , , , , ,1,9,1,2,3, ,4,6, , , , , ,1, , , , ,2, , , , , , , , , , ,1,3, , , , ,5,4, , , , ,4, , , , ,1,2,6, , , , ,1,2,3, , , , 
540,1,3,3,3,2,1,1,3,7, , , ,1,7,1,4,5, ,1,2,4, , , , ,1,2, , , ,4,7, , , , , ,2, , , ,1,4,5, , , ,5,1,3,6, , ,4,5, , , ,1,2,4, , , , ,1,2,6, , , , 
572,1,3,4,8,2,1,3,4,6, , , ,1,5,2,3, , ,2,5, , , , , ,1,3,6, , ,4,7, , , , , ,1,4, , ,1,5, , , , ,5,2,3,6, , ,1,2, , , ,4,7, , , , , ,1,3,4, , , , 
588,1,3,3,5,3,1,2,4, , , , ,1,3,1,4,5, ,1,4,6, , , , ,1,4, , , ,3, , , , , , , , , , ,1,3,5, , , ,5,2,6, , , ,2, , , , ,1,3,5, , , , ,3,5, , , , , 
614,1,2,3,11,2,1,1,3,7, , , ,1,7,1,2,4, ,1,2,4, , , , ,1,2,3, , ,3, , , , , , , , , , ,1,5, , , , ,5,2,4,6, , ,1,2,5, , ,2,3,4, , , , ,2,3,6, , , , 
651,1,3,3,5,3,1,2,3,5, , , ,2, , , , , ,2,5,6, , , , ,1,5, , , ,3, , , , , , , , , , ,1,5, , , , ,5,3,4, , , ,1,2,5, , ,2,4,7, , , , ,1,2,4, , , , 
656,1,3,3,5,3,1,2,3,4, , , ,2, , , , , ,4,5,6, , , , ,1,2,3, , ,5,4,5,6, , , ,3,4,5, ,1,2,3, , , ,4,4,5,6, , ,1,2,3, , ,3,4,5, , , , ,3,4,5, , , , 
689,1,2,3,11,1,1,1,2,7, , , ,2, , , , , ,1,2,4, , , , ,1,3,4, , ,4,1,2,4, , , ,7, , ,打球,1,2,3, , , ,8,1,3,4, , ,1,2,3, , ,1,2,4, , , , ,1,2,3, , , , 
691,1,2,3,11,1,1,2,3, , , , ,1,3,1, , , ,1,2,6, , , , ,1,2,4, , ,5,6,10, , , ,怕被淘汰,1,4, , ,1,2,4, , , ,5,2,3, , , ,1,2, , , ,2,3, , , , , ,5, , , , , , 
696,1,3,3,11,3,1,1,2,3, , , ,2, , , , , ,1,2,6, , , , ,1, , , , ,3, , , , , , , , , , ,1,2, , , , ,6,4, , , , ,1,5, , , ,1,5, , , , , ,1,2,5, , , , 
736,1,3,3,5,3,1,4,7, , , , ,1,7,4, , , ,6, , , , , , ,1, , , , ,3, , , , , , , , , , ,1,4,5, , , ,6,9, , , ,都沒有,1,2, , , ,3,4,7, , , , ,1,2, , , , , 
745,1,3,3,18,3,1,3,4,7, , , ,1,7,1,2,6, ,5,6, , , , ,了解一個領域的運作,1,2,3, , ,4,1,4,6, , , ,1,2,5, ,1,2,5, , , ,7,1,2,6, , ,1,2,5, , ,1,2,5, , , , ,1,2,6, , , , 
775,1,2,3,11,1,1,1,3,7, , , ,1,8,4,5, , ,1,3,6, , , , ,1,2, , , ,3, , , , , , , , , , ,1,2,5, , , ,7,2,3, , , ,1,2, , , ,1,2,4, , , , ,1,2,3, , , , 
816,1,2,1,5,3,1,1,2,3, , , ,2, , , , , ,1,2,4, , , , ,1,3,5, , ,4,4, , , , , ,1,4, , ,1,2,3, , , ,6,3,6, , , ,1,2,3, , ,1,2,4, , , , ,1,2,5, , , , 
818,1,2,1,10,3,1,1,2,7, , , ,1,8,1,4,5, ,1,2,5, , , , ,1, , , , ,2, , , , , , , , , , ,1,2, , , , ,9,2,5, , , ,1,4,5, , ,1,2,4, , , , ,1,2,6, , , , 
840,1,3,3,5,3,1,1,2,3, , , ,2, , , , , ,1,2,4, , , , ,1,3,4, , ,1, , , , , , , , , , ,1,2,3, , , ,8,3,4,6, , ,1,2,3, , ,2,3,4, , , , ,2,3,4, , , , 
862,1,2,3,11,2,1,3,4,5, , , ,1,7,1,2,4, ,3,4, , , , , ,1,2,5, , ,2, , , , , , , , , , ,1,2,4, , , ,5,3,5, , , ,1,2,3, , ,4,5, , , , , ,1,2,3, , , , 
